task_id,parent_id,wave,domain,title,depends_on,status,kind,effort_person_days,process_profile,skills,learning_refs,deliverables,acceptance_criteria,evidence_required,completion_condition,claimant,branch,reviewer
V-02,V-01,W1,Unity前期设计,【Unity前期设计】四天气场景与呼吸提示设计确认,V-01,DONE,FIXED,4,P-DESIGN,概念设计+场景映射+控制变量边界+资产规划,L-UNITYLEARN|L-RESEARCH,四场景确认基线;稳定技术ID映射;场景原生与抽象提示边界;共同世界与转场规则;资产制作与来源约束;下游开放项清单,AC1四个稳定技术ID各映射一个顺序无关场景和一个核心视觉机制且核心体验无需参与者操作；AC2场景原生与抽象双环两种提示互斥并共享目标真值真实实际输入时序环境音和累计天气反馈且V-02不要求动态原型；AC3分层资产来源许可已记录且storm双停与fade双吸的v2.2缺口由F-05承担并将实现参数交V-03排序和U-03验证,四场景确认与移交基线;机器可读场景基线;四场景详细规格;两条件公平矩阵;设计决策日志;专项校验报告;独立Agent复核记录,场景设计确认通过专项校验、独立复核和真实团队第二人签收后进入DONE且不扩大为Unity运行或正式构建完成,Codex Agent,codex/v-02-concept-design,傅钧烨（团队总监，真实团队第二人复核）
V-03,V-02,W1,Unity前期设计,【Unity前期设计】四层视听映射与资产来源基线,V-02|R-01,DONE,FIXED,3,P-DESIGN,反馈映射+声音设计+动态参数+资产来源规划,L-UNITYLEARN|L-RESEARCH|L-DATASEC,四天气Target Actual Recovery Fallback映射表;更新延迟平滑保持锁定规则;两条件信息匹配表;声音角色表;资产来源与替换计划;工程风险排序,AC1四层在每个场景中语义一致且可独立变化并区分研究语义和背景装饰；AC2两条件信息时点奖励和失败状态可比较且缺失输入不以零值或随机动画补齐；AC3预期图片动画字体音频Shader插件和包均登记来源状态用途与替换责任并按七类工程风险完成U-03切片排序,映射合同;参数边界表;两条件匹配审查;声音表;资产来源基线;工程风险矩阵,向U-02和V-04交付可实现可审计且不绑定旧素材的视听合同并为U-03冻结最高风险切片选择,Codex,codex/v-03-visual-mapping,傅钧烨（团队总监，真实团队第二人复核）
V-04,V-03,W1,Unity前期设计,【Unity前期设计】完整分镜与真实时长声音预演,V-03,DONE,FIXED,6,P-DESIGN,分镜+Animatic+声音预演+时序审查,L-UNITYLEARN|L-MARKDOWN,入口至结束完整分镜;真实推荐时长Animatic;临时声音轨与静音版本;镜头状态输入表;设计回退记录,AC1预演覆盖入口四模块各自demo closed_loop lock_transition跨场景转场和结束且不需要参与者操作；AC2两条件共同内容与差异内容在完整时轴上可核对且时长读取配置区间；AC3每个镜头记录目的状态数据输入声音和失败显示且临时第三方材料标记TEMP_REFERENCE_ONLY,Animatic视频;分镜源文件;声音与静音轨;时序核对表;双人评审记录,视觉声音与流程预演通过后才允许V-05进入Unity全旅程灰盒,Codex,codex/v-04-animatic,傅钧烨（团队总监，真实团队第二人复核）
D-01,P-02,W2,设备接入,【设备接入】Polar H10真实ECG与RR适配,P-02,WAIT_DEP_EXTERNAL,FIXED,4,P-HARDWARE,BLE+ECG/RR+重连+时间戳,L-BLE|L-PY,Polar DeviceSource适配器;配置;原始记录;状态事件,AC1真机连续30分钟；AC2ECG/RR时间戳和序号完整；AC3断流重连且正式模式不回退Mock,真机日志;丢包统计;序列号配置;30分钟报告,设备到位且官方协议复核后完成,,,
D-02,P-02,W2,设备接入,【设备接入】PLUX respiBAN BLE呼吸与运动适配,P-02,WAIT_DEP_EXTERNAL,FIXED,4,P-HARDWARE,BLE+400Hz采集+重连+时间戳,L-BLE|L-PY,PLUX DeviceSource适配器;400Hz呼吸运动记录;状态事件,AC1真机连续30分钟；AC2400Hz通道映射和时间戳正确；AC3断流重连且正式模式不回退Mock,真机日志;采样率报告;序列号配置;30分钟报告,设备到位且官方协议复核后完成,,,
S-01,P-02,W2,信号处理,【信号处理】双设备同步SQI与降级状态,D-01|D-02,WAIT_DEP,FIXED,4,P-ANALYSIS,同步+SQI+故障注入+配置,L-DSP|L-PYTEST,统一时间轴;SQI四状态;降级理由;质量配置,AC1时钟偏差报告可复现；AC2故障注入覆盖丢包漂移断流；AC3质量不足不生成成功状态,故障注入报告;同步误差表;状态轨迹,达到冻结技术预试起点或明确NO_GO,,,
S-02,S-01,W2,交互状态估计,【交互状态估计】呼吸事件周期与在线PF,S-01|R-01,WAIT_DEP,FIXED,5,P-ANALYSIS,事件检测+状态机+在线PF+标注,L-DSP|L-PYTEST,四结构事件检测;周期与阶段边界;在线PF;规则配置,AC1双人标注周期F1不低于0.85；AC2边界MAE不高于0.50秒；AC3在线PF与离线差达到冻结目标,标注一致性报告;F1/MAE表;在线离线差报告,规则配置在Level C前冻结候选,,,
V-05,V-04,W2,Unity预制作,【Unity预制作】四模块全旅程灰盒与形成性回退门,F-03|U-02|V-04,WAIT_DEP,FIXED,5,P-DEV,Unity灰盒+DEV-REPLAY+流程验证+形成性评审,L-UNITY|L-UNITYTEST|L-RESEARCH,四模块全旅程灰盒;24顺序自动检查;两条件占位实现;构图视线节奏转场检查;形成性问题与回退记录,AC1使用DEV-REPLAY记录fixture完成任意合法manifest顺序且四模块各一次不依赖参与者操作；AC2简单色块占位声音和标签即可核对构图提示节奏转场及两条件信息匹配；AC3关键不理解遮挡节奏断裂或条件不匹配必须回退V-02至V-04关闭且评审人员不进入正式样本,Unity Edit/Play测试;24顺序报告;完整灰盒录像;形成性评审表;问题关闭矩阵,全旅程灰盒通过后才允许U-03投入接近最终质量的垂直切片,,,
U-03,U-02,W2,Unity场景,【Unity场景】最高风险天气纵向切片与模板冻结,U-01|U-02|V-05,WAIT_DEP,FIXED,5,P-DEV,Unity+粒子+Shader+音频+Profiler+模板化,L-UNITYLEARN|L-UNITY,由V-03映射与资产基线风险排序选定的天气SceneAdapter;最终质量四层参数;音频响应;P-01控制至渲染回执完整模块;场景模板与扩展点,AC1垂直切片对象由V-03基于四层冲突阶段辨识实现性能降级资产和条件匹配风险排序选择且不得默认旧风暴场景；AC2Target Actual Recovery Fallback声音降级与回执在完整模块中同时成立且无需参与者输入；AC3形成性问题关闭并冻结Prefab图层音频总线生命周期性能和证据模板后才放行其余场景,Play录像;控制与回执序列;形成性问题关闭表;Profiler报告;模板冻结哈希;截图组,最高风险端到端切片通过并冻结公共模板且后续场景不得修改SceneAdapter和随机顺序,,,
U-04,U-03,W2,Unity场景,【Unity场景】剩余天气A四层适配器,U-03|V-03,WAIT_DEP,FIXED,4,P-DEV,Unity+粒子+Shader+音频+Profiler,L-UNITYLEARN|L-UNITY,V-02分配的剩余天气A SceneAdapter;四层参数;音频响应;测试场景,AC1任务对象与V-02冻结技术ID和概念分配一致且核心机制可辨识；AC2四层独立和降级可见且不修改U-03公共模板；AC3目标设备帧率内存加载和声音预算达U-08门,Play录像;Profiler报告;截图组;参数表;模板漂移检查,复用已验收纵向路径并向U-08交付一个独立天气适配器,,,
U-05,U-03,W2,Unity场景,【Unity场景】剩余天气B四层适配器,U-03|V-03,WAIT_DEP,FIXED,4,P-DEV,Unity+粒子+Shader+音频+Profiler,L-UNITYLEARN|L-UNITY,V-02分配的剩余天气B SceneAdapter;四层参数;音频响应;测试场景,AC1任务对象与V-02冻结技术ID和概念分配一致且核心机制可辨识；AC2四层独立和降级可见且不修改U-03公共模板；AC3目标设备帧率内存加载和声音预算达U-08门,Play录像;Profiler报告;截图组;参数表;模板漂移检查,复用已验收纵向路径并向U-08交付一个独立天气适配器,,,
U-06,U-03,W2,Unity场景,【Unity场景】剩余天气C四层适配器,U-03|V-03,WAIT_DEP,FIXED,4,P-DEV,Unity+粒子+Shader+音频+Profiler,L-UNITYLEARN|L-UNITY,V-02分配的剩余天气C SceneAdapter;四层参数;音频响应;测试场景,AC1任务对象与V-02冻结技术ID和概念分配一致且核心机制可辨识；AC2四层独立和降级可见且不修改U-03公共模板；AC3目标设备帧率内存加载和声音预算达U-08门,Play录像;Profiler报告;截图组;参数表;模板漂移检查,复用已验收纵向路径并向U-08交付一个独立天气适配器,,,
U-07,U-03,W2,Unity场景,【Unity场景】抽象完整表示方案适配器,F-05|U-03|R-01|V-03,WAIT_DEP,FIXED,4,P-DEV,Unity+UI动画+信息量匹配,L-UNITYLEARN|L-UNITYTEST,抽象提示SceneAdapter;四结构配置;完整表示方案fixture;条件差异遥测;六类视觉混杂报告,AC1抽象提示清晰表达四结构及阶段边界且具体形式遵循V-02裁定；AC2目标实际累计降级的功能信息和奖励时点与场景原生组匹配；AC3必须匹配项自动通过且运动亮度复杂度偏心遮挡显著度差异完整记录,Play录像;完整表示方案矩阵;遥测差异报告;混杂审计;截图组;测试报告,复用已验收纵向路径并以完整提示表示方案为处理且正式模式消费已签收F-05合同,,,
U-08,U-02,W2,Unity成品,【Unity成品】跨场景视听一致性性能与可访问性,G-02|U-03|U-04|U-05|U-06|U-07,WAIT_DEP,FIXED,5,P-INTEGRATION,Unity+音频混合+分辨率+Profiler+构建,L-UNITY|L-UNITYTEST,五适配器统一音量亮度字幕分辨率;非颜色唯一与对比度审计;减少运动与静音配置;性能预算;Windows构建候选;无TD运行手册;资产许可门报告,AC1五种提示自动跑完无布局音频或状态矛盾且无TD无Spout完成全流程；AC2目标设备帧率内存加载达预算且无不安全快速闪烁；AC3颜色非唯一关键对比度不同分辨率静音减少运动路径及资产许可失败关闭通过,完整录像;对比度与色觉模拟报告;运动闪烁清单;Profiler报告;构建日志;无TD运行记录;资产许可门报告,通过U4可访问门和G-02资产门后作为I-01与Z-01的Unity成品门,,,
T-02,T-01,W2,TouchDesigner,【TouchDesigner】人工标记中止请求与告警,T-01|P-01,READY,FIXED,3,P-DEV,TouchDesigner+请求协议+权限负测试,L-TD|L-SCHEMA,人工标记;中止请求;告警;审计视图,AC1请求只发送Python；AC2每次请求有ACK和审计记录；AC3直接控制Unity和修改阈值的负测试失败,请求日志;权限负测试;操作录像,不成为会话状态权威,,,
A-01,P-02,W2,离线分析,【离线分析】L0至L3确定性重建,P-02|S-02,WAIT_DEP,FIXED,5,P-ANALYSIS,Python+pandas+哈希+流水线,L-PANDAS|L-PYTEST,L0校验;同步L1;事件L2;汇总L3;版本哈希,AC1固定fixture逐层哈希稳定；AC2在线离线差报告自动生成；AC3任何排除均有原因码,pytest报告;层级manifest;差异报告;哈希清单,不覆盖L0且接口供A-02/A-03使用,,,
A-02,A-01,W2,统计实现,【统计实现】Gate1双分析集插补与模型,A-01,WAIT_DEP,FIXED,5,P-ANALYSIS,多重插补+稳健模型+敏感性分析,L-STAT|L-PANDAS,完整分析集;完整四模块集;100次插补;偏移网格;tipping point,AC1缺失机制fixture结果正确；AC2两分析集均执行同一非劣门；AC3固定种子可重建表图,合成数据报告;模型测试;偏移网格;复现命令,只实现冻结规则不解释正式结果,,,
A-03,A-01,W2,统计实现,【统计实现】Gate2联合测量估计目标与Monte Carlo样本模拟,F-02,IN_PROGRESS,FIXED,5,P-ANALYSIS,问卷计分+序数项目+估计目标+功效模拟,L-STAT|L-PANDAS,PANAS与SCCI计分;四层理解与心智努力;序数项目和条件间差异;Gate1至3估计目标表;阶段错误汇总;有界结果Monte Carlo,AC1SCCI只作操纵检查且四层理解心智努力分别建模；AC2项目差异FDR缺失与冻结原因码fixture通过；AC3模拟覆盖上限效应两分析集同时通过差异性缺失和有序门并给出当前上限可行或NO_GO,计分测试;估计目标表;测量报告模板;Monte Carlo输出;固定种子复现,许可和Level材料未确认时只使用合成fixture且不得以正态锚点替代最终模拟,Codex,codex/a-03-spec,
W-01,R-01,W2,论文准备,【论文准备】2015至2026最近工作击穿与主线论文骨架,F-02|R-01,DONE,FIXED,5,P-DELIVERY,定向综述+证据矩阵+学术写作,L-WRITING|L-MARKDOWN,ACM及Scopus或WoS检索式;IJHCI/IJHCS最近工作矩阵;逐项增量与反证;完整提示表示方案论文骨架;部署扩展降级分支;引用库,AC1每项主张标明相对最近工作的具体增量和反证而非未见相同工作；AC2矩阵编码场景融合四层信息呼吸结构对照状态编排测量和设计知识；AC3单篇骨架以表示方案为主且部署扩展仅在Gate3与U6通过时进入标题摘要贡献,25_论文投稿与成果交付/W-01_最近工作与论文骨架/W-01_2015-2026最近工作击穿与单篇IJHCI论文骨架_v0.9-candidate.md;25_论文投稿与成果交付/W-01_最近工作与论文骨架/w01-search-log.csv;25_论文投稿与成果交付/W-01_最近工作与论文骨架/w01-core-evidence-matrix.csv;25_论文投稿与成果交付/W-01_最近工作与论文骨架/w01-claims-evidence.csv;25_论文投稿与成果交付/W-01_最近工作与论文骨架/w01-references.bib;25_论文投稿与成果交付/W-01_最近工作与论文骨架/W-01_验收记录.md;99_验证与清单/validate_w01_package.py,候选最近工作包通过AC；新颖性保持REVISE_REQUIRED，数据库原生导出与双人抽查仍开放,GPT Deep Research+Codex,main,Codex独立AC审查
I-01,SRP-ROOT,W3,系统集成,【系统集成】无TD双真机完整链外部延迟与重放,P-01|P-02|S-02|U-08|T-02|G-02,WAIT_DEP_EXTERNAL,FIXED,5,P-INTEGRATION,跨进程集成+故障注入+外部测量,L-PYTEST|L-UNITYTEST,Python设备Unity完整链;无TD运行;L0/L1记录;四时间戳同步;外部呈现延迟;多小时压力;重放,AC1两台真机在干净机器完成13分20秒四模块且各进入一次；AC2TD和Spout关闭不影响体验落盘且端口权限负测试通过；AC3外部测量延迟P95时钟偏差漂移不确定度及断连乱序重连降级达到冻结目标,LIVE_E2E录像;真机日志;外部延迟报告;压力报告;权限负测试;重放哈希,只有LIVE_E2E与外部呈现测量证据可关闭本包,,,
Q-01,F-02,W3,研究工具,【研究工具】Level A构念与四层独立重建测试,F-02|R-01|U-07|G-01,WAIT_DEP,FIXED,4,P-DESIGN,专家审查+独立设计者重建+CVI,L-RESEARCH|L-PANDAS,构念专家包;盲态编号;CVI汇总;未见呼吸结构或非天气场景重建任务;盲态评分;适用边界;修订日志,AC1八专家角色和独立设计者均可追踪且不参与框架制定；AC2层级完整性禁止耦合降级可见和可复现评分自动汇总；AC3独立重建不稳定时自动触发四场景设计模式降称并冻结版本差异,合成fixture报告;专家包;独立重建材料;盲态评分表;适用边界;版本差异,只生成工具不伪造结果且未过U1/U2不进入Level B,,,
Q-02,Q-01,W3,研究工具,【研究工具】Level B两条件认知可访问性与需求特征预试,U-08|Q-01,WAIT_DEP,FIXED,5,P-INTEGRATION,认知访谈+可访问性+需求特征+版本控制,L-RESEARCH|L-UNITYTEST,两条件逐题认知访谈;四层理解任务;阶段错误任务;目的与条件猜测;可访问性路径;关键误解与失败模式编码;修订闭环,AC1场景原生与抽象路径及四结构分别执行且SCCI和四层理解逐题覆盖；AC2层级混淆目的猜测条件猜测和可访问性失败均有修订或保留理由；AC3修改后完整表示方案审计与Unity自动回归通过,构建哈希;访谈模板;理解题答案;错误分类表;需求特征报告;可访问性报告;修订矩阵;回归报告,只生成候选和工具不写成已通过且未过U3/U4/U5不进入Level C,,,
Q-03,Q-02,W3,研究工具,【研究工具】Level C采集标注与阈值冻结工具,I-01|Q-02|A-01|A-03-REAL,WAIT_DEP_EXTERNAL,FIXED,5,P-INTEGRATION,采集编排+双人标注+盲态报告,L-RESEARCH|L-PANDAS,Level C manifest;批次工具;双人标注界面;盲态参数报告;冻结配置生成器,AC1可实例化48人平衡计划；AC2标注分歧和信号门自动报告；AC3冻结配置带哈希和签署位,合成演练;工具测试;候选报告;配置哈希,正式运行依赖Level B关闭和外部批准,,,
X-01,P-01,W3,随机化,【随机化】阶段一三清单分层隐藏概率与重复防护,P-01|A-03-SPEC|G-02,IN_REVIEW,FIXED,4,P-ANALYSIS,分层随机化+分配隐藏+概率审计,L-STAT|L-PYTEST,阶段一48人块清单;阶段三独立清单;可变块与分层;生成保管揭示角色;种子规则;清单哈希;行为概率;重复参与接口;平衡审计,AC1阶段一每块每条件24顺序各一次且阶段三两组独立生成；AC2资格与设备检查后才揭示且每次决策行为概率可重建；AC3平衡按分配而非完成且重复清单错误版本耗尽时失败关闭,性质测试;合成清单;概率报告;重复审计fixture;平衡报告;权限负测试,不读取体验中或体验后结果改变分配且不定向补完成格,Codex,codex/x-01-randomization,独立Agent 01a076ff-e560-7ad1-9e4f-7639097dce08（PASS_NO_OPEN_P0_P3）
X-02,A-03,W3,策略实现,【策略实现】参与者分组策略学习OPE支持与重放,A-03,WAIT_DEP,FIXED,5,P-ANALYSIS,有限时域岭Q+交叉拟合+OPE+重放,L-ML|L-PYTEST,参与者分组逆向Q模型;外层交叉拟合内层调参;行为概率;交叉拟合离线策略价值;有效样本量;消融;动作支持与策略熵;校准;均匀回退;逐决策重放,AC1交叉验证bootstrap和区间均按参与者分组且决策行不作独立样本；AC2每个合法动作概率为正并自动报告行为支持OPE与ESS；AC3价值不稳定支持不足或状态低质量时冻结均匀或更简策略且相同输入种子重放一致,合成策略报告;OPE与ESS报告;消融报告;覆盖熵校准图;概率性质测试;重放哈希,心电特征只作离线解释且工具完成不等于策略已冻结,,,
X-03,X-02,W3,策略运行,【策略运行】阶段三同构建策略随机接入与防在线学习,X-01|X-02|U-01,WAIT_DEP,FIXED,4,P-INTEGRATION,冻结模型加载+同构建分组+运行审计,L-PYTEST|L-SCHEMA,冻结策略加载器;同一scene_native构建;策略与均衡随机顺序服务;PolicyDecision全字段;版本锁;防更新保护,AC1错误策略随机化或构建哈希失败关闭且两组Unity构建完全相同；AC2运行不写模型参数且回退保留在策略组；AC3候选集合行为与目标概率状态哈希随机值理由回退版本均完整记录,集成测试;构建哈希比对;只读权限负测试;决策重放,等待E-05产生真实冻结策略且阶段三估计部署策略含回退,,,
